"new.id"	"Area.M2"	"p1"	"p2"	"p3"	"p4"	"x"	"y"	"Final.ID"	"initial1"	"initial2"	"initial3"	"initial4"
168	8155.15785	"grass"	"grass"	"grass"	"grass"	620784.8359	7087237.464	"4553"	736243.685950057	0	0	0
169	2431.76595	"grass"	"grass"	"grass"	"grass"	620471.8675	7086842.248	"4563"	215900.545809385	0	0	0
170	2178.63775	"plough"	"plough"	"plough"	"grain"	619937.42	7087692.517	"4575"	0	0	0	174996.157230523
171	33284.451	"stubble"	"stubble"	"stubble"	"plough"	621026.4075	7086864.223	"4583"	108621.106813544	0	0	0
172	13528.46945	"grass"	"grass"	"grass"	"grass"	621483.745	7087089.436	"4595"	1111257.65292545	0	0	0
173	1520.09	"grass"	"grass"	"grass"	"grass"	621525.725	7087028.936	"4596"	126361.457994215	0	0	0
174	4003.249	"grass"	"grass"	"grass"	"grass"	620525.75	7086515.89	"4614"	340763.773646349	0	0	0
175	6663.73275	"grass"	"grass"	"grass"	"grass"	620568.8988	7086416.236	"4616"	552405.733893624	0	0	0
176	5895.61915	"grass"	"grass"	"grass"	"grass"	619708.8875	7086484.486	"4619"	519515.792100504	0	0	0
177	7481.7478	"grass"	"grass"	"grass"	"grass"	619816.905	7086477.113	"4623"	665551.978911992	0	0	0
178	3643.10965	"grass"	"grass"	"grass"	"grass"	620458.05	7086522.245	"4624"	331719.040810659	0	0	0
179	18365.9175	"grass"	"grass"	"grass"	"grass"	621160.015	7086611.455	"4626"	1677297.11732327	0	0	0
180	28615.2698	"plough"	"plough"	"plough"	"grain"	620398.5	7088238.573	"4658"	0	0	0	1162556.10094664
181	7636.42335	"grass"	"grass"	"grass"	"grass"	621052.675	7086992.524	"4666"	655069.594013262	0	0	0
182	5460.6124	"grass"	"grass"	"grass"	"grass"	620818.7978	7086885.471	"4668"	427391.926398389	0	0	0
183	4326.44675	"grass"	"grass"	"grass"	"grass"	620088.325	7086503.258	"4669"	384956.193050191	0	0	0
184	19548.53935	"grass"	"grass"	"grass"	"grass"	620984.16	7087590.031	"4674"	1716538.9818043	0	0	0
185	10857.7921	"grass"	"grass"	"grass"	"grass"	621013.21	7087716.598	"4675"	982958.013666551	0	0	0
186	37092.8217	"grass"	"grass"	"grass"	"grass"	619843.155	7087365.331	"4679"	3348541.01096785	0	0	0
187	46321.5776	"grass"	"grass"	"grass"	"grass"	619863	7087882.658	"4680"	3762063.22748198	0	0	0
188	6641.4343	"grass"	"grass"	"grass"	"grass"	620664.1	7086102.04	"4718"	554126.885628607	0	0	0
189	13385.99745	"grass"	"grass"	"grass"	"grass"	619810.635	7086145.038	"4719"	1108898.64758778	0	0	0
190	249039.2627	"grass"	"grass"	"grass"	"grass"	620008.7956	7085909.474	"4720"	21943815.5677374	0	0	0
191	53622.7408	"plough"	"plough"	"grain"	"grain"	619611.4567	7088208.86	"4731"	0	0	1968885.83003876	0
192	8585.7841	"grass"	"grass"	"grass"	"grass"	619727.2575	7088154.588	"4732"	651023.887594624	0	0	0
193	3642.75615	"potato"	"potato"	"plough"	"grain"	620328.095	7088265.522	"4734"	1685725.75255872	0	0	139621.507403015
194	26684.04275	"grass"	"grass"	"grass"	"grass"	620435.2216	7087361.606	"4735"	2012396.14699989	0	0	0
195	2944.93295	"stubble"	"stubble"	"grain"	"grain"	619691.2375	7087518.192	"4737"	101654.587182477	0	120201.01901714	0
196	5954.40165	"stubble"	"stubble"	"stubble"	"stubble"	619688.9746	7087697.17	"4738"	68869.7417998174	0	0	0
197	1090.78255	"plough"	"grain"	"grain"	"grain"	619527.3876	7087548.242	"4739"	0	69239.1719113981	0	0
198	2348.4994	"stubble"	"stubble"	"plough"	"grain"	619556.62	7087382.579	"4741"	91915.9799956723	0	0	86114.6107875719
199	10506.78935	"grass"	"grass"	"grass"	"grass"	620028.5725	7086703.375	"4743"	801409.994624265	0	0	0
200	6405.9524	"grass"	"grass"	"grass"	"grass"	621106.425	7086520.001	"4746"	522574.094556741	0	0	0
201	51425.65965	"grass"	"grass"	"grass"	"grass"	619852.735	7088019.367	"4761"	4377353.93825707	0	0	0
202	14617.81035	"grass"	"grass"	"grass"	"grass"	621222.425	7087648.724	"4764"	1238392.92012852	0	0	0
203	31569.17645	"grass"	"grass"	"grass"	"grass"	619983.415	7087066.555	"4765"	2587059.50218123	0	0	0
204	31.022324	"grass"	"grass"	"grass"	"grass"	620808.357	7085110.8	"4773"	2772.04690638385	0	0	0
205	41002.55306	"grass"	"grass"	"grass"	"grass"	620729.97	7084794.403	"4774"	3593366.33461558	0	0	0
206	12591.22304	"grass"	"grass"	"grass"	"grass"	620734.515	7085171.039	"4777"	1034645.86333024	0	0	0
207	628.514914	"grass"	"grass"	"grass"	"grass"	620837.785	7084719.076	"4778"	52382.8868786577	0	0	0
208	6528.857914	"grass"	"grass"	"grass"	"grass"	620753.415	7085024.856	"4780"	533628.909268878	0	0	0
209	13658.3002	"grass"	"grass"	"grass"	"grass"	620042.9725	7085646.606	"4814"	1040254.75445151	0	0	0
210	4973.5224	"grass"	"grass"	"grass"	"grass"	620241.835	7085678.591	"4815"	404332.402314847	0	0	0
211	9626.7422	"grass"	"grass"	"grass"	"grass"	620273.7025	7085548.472	"4821"	763043.012377157	0	0	0
212	20.109806	"grass"	"grass"	"grass"	"grass"	620811.9817	7085094.817	"4838"	1798.57141514434	0	0	0
213	3756.207018	"grass"	"grass"	"grass"	"grass"	620700.2061	7084857.444	"4842"	277861.5770422	0	0	0
214	32449.76895	"stubble"	"plough"	"grain"	"grain"	617686.6075	7092488.19	"4852"	188372.81175757	0	2244426.99163333	0
215	120024.7084	"stubble"	"plough"	"grain"	"grain"	617251.0616	7093052.702	"4853"	582675.239504626	0	8491479.16679316	0
216	203315.092	"plough"	"plough"	"grain"	"grain"	618282.7142	7092955.674	"4867"	0	0	9947202.45083538	0
217	7780.0781	"stubble"	"plough"	"grain"	"grain"	619266.645	7092006.416	"4872"	254303.368804899	0	495978.074544314	0
218	228757.8919	"plough"	"plough"	"plough"	"grain"	617504.2574	7090783.205	"4884"	0	0	0	12477069.9168267
219	3087.3101	"grass"	"grass"	"grass"	"grass"	617522.885	7091631.002	"4935"	239645.521683574	0	0	0
220	6758.62465	"grass"	"grass"	"grass"	"grass"	617645.8625	7091731.104	"4936"	502433.312185086	0	0	0
221	1772.2351	"grass"	"grass"	"grass"	"grass"	617488.8618	7092187.797	"4938"	157844.744884846	0	0	0
222	7952.4969	"stubble"	"stubble"	"plough"	"plough"	618042.555	7092074.453	"4940"	344695.544982279	0	0	0
223	11515.92935	"grass"	"grass"	"grass"	"grass"	618953.6075	7091351.201	"4946"	854841.80001756	0	0	0
224	5184.8181	"plough"	"plough"	"grain"	"grain"	619283.575	7091675.302	"4947"	0	0	377058.307367927	0
225	2339.30295	"grass"	"grass"	"grass"	"grass"	618778.22	7091807.507	"4950"	176809.603219444	0	0	0
226	1235.77845	"stubble"	"plough"	"grain"	"grain"	618769.607	7092435.867	"4967"	60757.961344025	0	74540.043323964	0
227	4987.74205	"grass"	"grass"	"grass"	"grass"	618685.395	7092435.117	"4968"	415618.773318496	0	0	0
228	1485.8961	"plough"	"plough"	"grain"	"grain"	618714.7875	7092480.609	"4969"	0	0	81614.0140652656	0
229	1728.83175	"plough"	"plough"	"plough"	"grain"	618676.318	7092514.772	"4970"	0	0	0	83416.9899287667
